,region,type of household,contents,year,value
2505,Gulen (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,8
2506,Gulen (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,2
2507,Gulen (-2019),Other housesholds,Households,2019,0
2508,Solund (-2019),Living alone,Households,2019,135
2509,Solund (-2019),Couple without resident children,Households,2019,94
2510,Solund (-2019),Couple with small children (youngest child 0-5 years),Households,2019,21
2511,Solund (-2019),Couple with older children (youngest child 6-17 years),Households,2019,47
2512,Solund (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,4
2513,Solund (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,6
2514,Solund (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,40
2515,Solund (-2019),Two or more-family households without resident children 0-17 years,Households,2019,14
2516,Solund (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,3
2517,Solund (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,2
2518,Solund (-2019),Other housesholds,Households,2019,0
2519,Hyllestad (-2019),Living alone,Households,2019,257
2520,Hyllestad (-2019),Couple without resident children,Households,2019,160
2521,Hyllestad (-2019),Couple with small children (youngest child 0-5 years),Households,2019,37
2522,Hyllestad (-2019),Couple with older children (youngest child 6-17 years),Households,2019,62
2523,Hyllestad (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,7
2524,Hyllestad (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,16
2525,Hyllestad (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,53
2526,Hyllestad (-2019),Two or more-family households without resident children 0-17 years,Households,2019,19
2527,Hyllestad (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,4
2528,Hyllestad (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,4
2529,Hyllestad (-2019),Other housesholds,Households,2019,0
2530,Høyanger (-2019),Living alone,Households,2019,738
2531,Høyanger (-2019),Couple without resident children,Households,2019,435
2532,Høyanger (-2019),Couple with small children (youngest child 0-5 years),Households,2019,134
2533,Høyanger (-2019),Couple with older children (youngest child 6-17 years),Households,2019,182
2534,Høyanger (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,21
2535,Høyanger (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,93
2536,Høyanger (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,183
2537,Høyanger (-2019),Two or more-family households without resident children 0-17 years,Households,2019,43
2538,Høyanger (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,10
2539,Høyanger (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,9
2540,Høyanger (-2019),Other housesholds,Households,2019,0
2541,Vik (-2019),Living alone,Households,2019,449
2542,Vik (-2019),Couple without resident children,Households,2019,291
2543,Vik (-2019),Couple with small children (youngest child 0-5 years),Households,2019,96
2544,Vik (-2019),Couple with older children (youngest child 6-17 years),Households,2019,111
2545,Vik (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,9
2546,Vik (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,35
2547,Vik (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,122
2548,Vik (-2019),Two or more-family households without resident children 0-17 years,Households,2019,38
2549,Vik (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,7
2550,Vik (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,5
2551,Vik (-2019),Other housesholds,Households,2019,0
2552,Balestrand (-2019),Living alone,Households,2019,221
2553,Balestrand (-2019),Couple without resident children,Households,2019,154
2554,Balestrand (-2019),Couple with small children (youngest child 0-5 years),Households,2019,46
2555,Balestrand (-2019),Couple with older children (youngest child 6-17 years),Households,2019,57
2556,Balestrand (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,5
2557,Balestrand (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,13
2558,Balestrand (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,53
2559,Balestrand (-2019),Two or more-family households without resident children 0-17 years,Households,2019,12
2560,Balestrand (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,2
2561,Balestrand (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,2
2562,Balestrand (-2019),Other housesholds,Households,2019,0
2563,Leikanger (-2019),Living alone,Households,2019,303
2564,Leikanger (-2019),Couple without resident children,Households,2019,267
2565,Leikanger (-2019),Couple with small children (youngest child 0-5 years),Households,2019,104
2566,Leikanger (-2019),Couple with older children (youngest child 6-17 years),Households,2019,136
2567,Leikanger (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,7
2568,Leikanger (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,28
2569,Leikanger (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,66
2570,Leikanger (-2019),Two or more-family households without resident children 0-17 years,Households,2019,24
2571,Leikanger (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,4
2572,Leikanger (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,3
2573,Leikanger (-2019),Other housesholds,Households,2019,0
2574,Sogndal (-2019),Living alone,Households,2019,1970
2575,Sogndal (-2019),Couple without resident children,Households,2019,1077
2576,Sogndal (-2019),Couple with small children (youngest child 0-5 years),Households,2019,394
2577,Sogndal (-2019),Couple with older children (youngest child 6-17 years),Households,2019,395
2578,Sogndal (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,18
2579,Sogndal (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,43
2580,Sogndal (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,257
2581,Sogndal (-2019),Two or more-family households without resident children 0-17 years,Households,2019,244
2582,Sogndal (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,45
2583,Sogndal (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,51
2584,Sogndal (-2019),Other housesholds,Households,2019,0
2585,Aurland (-2019),Living alone,Households,2019,299
2586,Aurland (-2019),Couple without resident children,Households,2019,174
2587,Aurland (-2019),Couple with small children (youngest child 0-5 years),Households,2019,62
2588,Aurland (-2019),Couple with older children (youngest child 6-17 years),Households,2019,70
2589,Aurland (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,4
2590,Aurland (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,25
2591,Aurland (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,94
2592,Aurland (-2019),Two or more-family households without resident children 0-17 years,Households,2019,34
2593,Aurland (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,8
2594,Aurland (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,8
2595,Aurland (-2019),Other housesholds,Households,2019,0
2596,Lærdal (-2019),Living alone,Households,2019,354
2597,Lærdal (-2019),Couple without resident children,Households,2019,239
2598,Lærdal (-2019),Couple with small children (youngest child 0-5 years),Households,2019,69
2599,Lærdal (-2019),Couple with older children (youngest child 6-17 years),Households,2019,105
2600,Lærdal (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,10
2601,Lærdal (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,29
2602,Lærdal (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,108
2603,Lærdal (-2019),Two or more-family households without resident children 0-17 years,Households,2019,23
2604,Lærdal (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,6
2605,Lærdal (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,5
2606,Lærdal (-2019),Other housesholds,Households,2019,0
2607,Årdal (-2019),Living alone,Households,2019,978
2608,Årdal (-2019),Couple without resident children,Households,2019,649
2609,Årdal (-2019),Couple with small children (youngest child 0-5 years),Households,2019,176
2610,Årdal (-2019),Couple with older children (youngest child 6-17 years),Households,2019,253
2611,Årdal (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,22
2612,Årdal (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,70
2613,Årdal (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,226
2614,Årdal (-2019),Two or more-family households without resident children 0-17 years,Households,2019,49
2615,Årdal (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,9
2616,Årdal (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,12
2617,Årdal (-2019),Other housesholds,Households,2019,0
2618,Luster (-2019),Living alone,Households,2019,785
2619,Luster (-2019),Couple without resident children,Households,2019,541
2620,Luster (-2019),Couple with small children (youngest child 0-5 years),Households,2019,230
2621,Luster (-2019),Couple with older children (youngest child 6-17 years),Households,2019,232
2622,Luster (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,15
2623,Luster (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,58
2624,Luster (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,224
2625,Luster (-2019),Two or more-family households without resident children 0-17 years,Households,2019,64
2626,Luster (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,15
2627,Luster (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,17
2628,Luster (-2019),Other housesholds,Households,2019,0
2629,Askvoll (-2019),Living alone,Households,2019,463
2630,Askvoll (-2019),Couple without resident children,Households,2019,344
2631,Askvoll (-2019),Couple with small children (youngest child 0-5 years),Households,2019,109
2632,Askvoll (-2019),Couple with older children (youngest child 6-17 years),Households,2019,136
2633,Askvoll (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,8
2634,Askvoll (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,43
2635,Askvoll (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,139
2636,Askvoll (-2019),Two or more-family households without resident children 0-17 years,Households,2019,31
2637,Askvoll (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,12
2638,Askvoll (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,17
2639,Askvoll (-2019),Other housesholds,Households,2019,0
2640,Fjaler (-2019),Living alone,Households,2019,462
2641,Fjaler (-2019),Couple without resident children,Households,2019,262
2642,Fjaler (-2019),Couple with small children (youngest child 0-5 years),Households,2019,93
2643,Fjaler (-2019),Couple with older children (youngest child 6-17 years),Households,2019,135
2644,Fjaler (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,11
2645,Fjaler (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,30
2646,Fjaler (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,102
2647,Fjaler (-2019),Two or more-family households without resident children 0-17 years,Households,2019,43
2648,Fjaler (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,15
2649,Fjaler (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,10
2650,Fjaler (-2019),Other housesholds,Households,2019,0
2651,Gaular (-2019),Living alone,Households,2019,334
2652,Gaular (-2019),Couple without resident children,Households,2019,269
2653,Gaular (-2019),Couple with small children (youngest child 0-5 years),Households,2019,131
2654,Gaular (-2019),Couple with older children (youngest child 6-17 years),Households,2019,147
2655,Gaular (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,10
2656,Gaular (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,25
2657,Gaular (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,147
2658,Gaular (-2019),Two or more-family households without resident children 0-17 years,Households,2019,38
2659,Gaular (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,27
2660,Gaular (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,18
2661,Gaular (-2019),Other housesholds,Households,2019,0
2662,Jølster (-2019),Living alone,Households,2019,444
2663,Jølster (-2019),Couple without resident children,Households,2019,287
2664,Jølster (-2019),Couple with small children (youngest child 0-5 years),Households,2019,133
2665,Jølster (-2019),Couple with older children (youngest child 6-17 years),Households,2019,159
2666,Jølster (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,12
2667,Jølster (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,44
2668,Jølster (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,122
2669,Jølster (-2019),Two or more-family households without resident children 0-17 years,Households,2019,29
2670,Jølster (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,12
2671,Jølster (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,13
2672,Jølster (-2019),Other housesholds,Households,2019,0
2673,Førde (-2019),Living alone,Households,2019,2176
2674,Førde (-2019),Couple without resident children,Households,2019,1241
2675,Førde (-2019),Couple with small children (youngest child 0-5 years),Households,2019,600
2676,Førde (-2019),Couple with older children (youngest child 6-17 years),Households,2019,708
2677,Førde (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,56
2678,Førde (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,225
2679,Førde (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,449
2680,Førde (-2019),Two or more-family households without resident children 0-17 years,Households,2019,165
2681,Førde (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,35
2682,Førde (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,39
2683,Førde (-2019),Other housesholds,Households,2019,0
2684,Naustdal (-2019),Living alone,Households,2019,387
2685,Naustdal (-2019),Couple without resident children,Households,2019,271
2686,Naustdal (-2019),Couple with small children (youngest child 0-5 years),Households,2019,112
2687,Naustdal (-2019),Couple with older children (youngest child 6-17 years),Households,2019,140
2688,Naustdal (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,17
2689,Naustdal (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,39
2690,Naustdal (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,110
2691,Naustdal (-2019),Two or more-family households without resident children 0-17 years,Households,2019,31
2692,Naustdal (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,15
2693,Naustdal (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,20
2694,Naustdal (-2019),Other housesholds,Households,2019,0
2695,Bremanger (-2019),Living alone,Households,2019,592
2696,Bremanger (-2019),Couple without resident children,Households,2019,410
2697,Bremanger (-2019),Couple with small children (youngest child 0-5 years),Households,2019,111
2698,Bremanger (-2019),Couple with older children (youngest child 6-17 years),Households,2019,190
2699,Bremanger (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,12
2700,Bremanger (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,34
2701,Bremanger (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,145
2702,Bremanger (-2019),Two or more-family households without resident children 0-17 years,Households,2019,60
2703,Bremanger (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,14
2704,Bremanger (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,20
2705,Bremanger (-2019),Other housesholds,Households,2019,0
2706,Vågsøy (-2019),Living alone,Households,2019,909
2707,Vågsøy (-2019),Couple without resident children,Households,2019,652
2708,Vågsøy (-2019),Couple with small children (youngest child 0-5 years),Households,2019,243
2709,Vågsøy (-2019),Couple with older children (youngest child 6-17 years),Households,2019,297
2710,Vågsøy (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,20
2711,Vågsøy (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,62
2712,Vågsøy (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,229
2713,Vågsøy (-2019),Two or more-family households without resident children 0-17 years,Households,2019,88
2714,Vågsøy (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,14
2715,Vågsøy (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,17
2716,Vågsøy (-2019),Other housesholds,Households,2019,0
2717,Selje (-2019),Living alone,Households,2019,394
2718,Selje (-2019),Couple without resident children,Households,2019,276
2719,Selje (-2019),Couple with small children (youngest child 0-5 years),Households,2019,95
2720,Selje (-2019),Couple with older children (youngest child 6-17 years),Households,2019,116
2721,Selje (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,6
2722,Selje (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,35
2723,Selje (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,140
2724,Selje (-2019),Two or more-family households without resident children 0-17 years,Households,2019,38
2725,Selje (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,20
2726,Selje (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,15
2727,Selje (-2019),Other housesholds,Households,2019,0
2728,Eid (-2019),Living alone,Households,2019,861
2729,Eid (-2019),Couple without resident children,Households,2019,561
2730,Eid (-2019),Couple with small children (youngest child 0-5 years),Households,2019,261
2731,Eid (-2019),Couple with older children (youngest child 6-17 years),Households,2019,288
2732,Eid (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,20
2733,Eid (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,102
2734,Eid (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,274
2735,Eid (-2019),Two or more-family households without resident children 0-17 years,Households,2019,83
2736,Eid (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,16
2737,Eid (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,32
2738,Eid (-2019),Other housesholds,Households,2019,0
2739,Hornindal (-2019),Living alone,Households,2019,156
2740,Hornindal (-2019),Couple without resident children,Households,2019,100
2741,Hornindal (-2019),Couple with small children (youngest child 0-5 years),Households,2019,37
2742,Hornindal (-2019),Couple with older children (youngest child 6-17 years),Households,2019,60
2743,Hornindal (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,4
2744,Hornindal (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,13
2745,Hornindal (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,62
2746,Hornindal (-2019),Two or more-family households without resident children 0-17 years,Households,2019,10
2747,Hornindal (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,6
2748,Hornindal (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,9
2749,Hornindal (-2019),Other housesholds,Households,2019,0
2750,Gloppen (-2019),Living alone,Households,2019,867
2751,Gloppen (-2019),Couple without resident children,Households,2019,608
2752,Gloppen (-2019),Couple with small children (youngest child 0-5 years),Households,2019,220
2753,Gloppen (-2019),Couple with older children (youngest child 6-17 years),Households,2019,274
2754,Gloppen (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,15
2755,Gloppen (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,63
2756,Gloppen (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,242
2757,Gloppen (-2019),Two or more-family households without resident children 0-17 years,Households,2019,59
2758,Gloppen (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,29
2759,Gloppen (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,30
2760,Gloppen (-2019),Other housesholds,Households,2019,0
2761,Stryn (1977-2019),Living alone,Households,2019,1106
2762,Stryn (1977-2019),Couple without resident children,Households,2019,651
2763,Stryn (1977-2019),Couple with small children (youngest child 0-5 years),Households,2019,281
2764,Stryn (1977-2019),Couple with older children (youngest child 6-17 years),Households,2019,354
2765,Stryn (1977-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,17
2766,Stryn (1977-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,93
2767,Stryn (1977-2019),One family households with adult children (youngest child 18 years and over,Households,2019,284
2768,Stryn (1977-2019),Two or more-family households without resident children 0-17 years,Households,2019,88
2769,Stryn (1977-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,48
2770,Stryn (1977-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,31
2771,Stryn (1977-2019),Other housesholds,Households,2019,0
2772,Molde (-2019),Living alone,Households,2019,5100
2773,Molde (-2019),Couple without resident children,Households,2019,3189
2774,Molde (-2019),Couple with small children (youngest child 0-5 years),Households,2019,1137
2775,Molde (-2019),Couple with older children (youngest child 6-17 years),Households,2019,1313
2776,Molde (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,109
2777,Molde (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,440
2778,Molde (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,903
2779,Molde (-2019),Two or more-family households without resident children 0-17 years,Households,2019,337
2780,Molde (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,52
2781,Molde (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,56
2782,Molde (-2019),Other housesholds,Households,2019,0
2783,Ålesund (1977-2019),Living alone,Households,2019,8736
2784,Ålesund (1977-2019),Couple without resident children,Households,2019,5180
2785,Ålesund (1977-2019),Couple with small children (youngest child 0-5 years),Households,2019,2188
2786,Ålesund (1977-2019),Couple with older children (youngest child 6-17 years),Households,2019,2427
2787,Ålesund (1977-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,208
2788,Ålesund (1977-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,715
2789,Ålesund (1977-2019),One family households with adult children (youngest child 18 years and over,Households,2019,1587
2790,Ålesund (1977-2019),Two or more-family households without resident children 0-17 years,Households,2019,774
2791,Ålesund (1977-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,105
2792,Ålesund (1977-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,108
2793,Ålesund (1977-2019),Other housesholds,Households,2019,0
2794,Kristiansund,Living alone,Households,2019,4661
2795,Kristiansund,Couple without resident children,Households,2019,2798
2796,Kristiansund,Couple with small children (youngest child 0-5 years),Households,2019,883
2797,Kristiansund,Couple with older children (youngest child 6-17 years),Households,2019,1186
2798,Kristiansund,Lone parent with small children (youngest child 0-5 years),Households,2019,129
2799,Kristiansund,Lone parent with older children (youngest child 6-17 years),Households,2019,501
2800,Kristiansund,One family households with adult children (youngest child 18 years and over,Households,2019,913
2801,Kristiansund,Two or more-family households without resident children 0-17 years,Households,2019,286
2802,Kristiansund,Two or more-family households with small children (youngest child 0-5 years),Households,2019,44
2803,Kristiansund,Two or more-family households with older children (youngest child 6-17 years),Households,2019,53
2804,Kristiansund,Other housesholds,Households,2019,0
2805,Vanylven,Living alone,Households,2019,498
2806,Vanylven,Couple without resident children,Households,2019,395
2807,Vanylven,Couple with small children (youngest child 0-5 years),Households,2019,75
2808,Vanylven,Couple with older children (youngest child 6-17 years),Households,2019,124
2809,Vanylven,Lone parent with small children (youngest child 0-5 years),Households,2019,9
2810,Vanylven,Lone parent with older children (youngest child 6-17 years),Households,2019,34
2811,Vanylven,One family households with adult children (youngest child 18 years and over,Households,2019,162
2812,Vanylven,Two or more-family households without resident children 0-17 years,Households,2019,52
2813,Vanylven,Two or more-family households with small children (youngest child 0-5 years),Households,2019,16
2814,Vanylven,Two or more-family households with older children (youngest child 6-17 years),Households,2019,15
2815,Vanylven,Other housesholds,Households,2019,0
2816,Sande (Møre og Romsdal),Living alone,Households,2019,388
2817,Sande (Møre og Romsdal),Couple without resident children,Households,2019,301
2818,Sande (Møre og Romsdal),Couple with small children (youngest child 0-5 years),Households,2019,81
2819,Sande (Møre og Romsdal),Couple with older children (youngest child 6-17 years),Households,2019,116
2820,Sande (Møre og Romsdal),Lone parent with small children (youngest child 0-5 years),Households,2019,12
2821,Sande (Møre og Romsdal),Lone parent with older children (youngest child 6-17 years),Households,2019,27
2822,Sande (Møre og Romsdal),One family households with adult children (youngest child 18 years and over,Households,2019,108
2823,Sande (Møre og Romsdal),Two or more-family households without resident children 0-17 years,Households,2019,45
2824,Sande (Møre og Romsdal),Two or more-family households with small children (youngest child 0-5 years),Households,2019,9
2825,Sande (Møre og Romsdal),Two or more-family households with older children (youngest child 6-17 years),Households,2019,8
2826,Sande (Møre og Romsdal),Other housesholds,Households,2019,0
2827,Herøy (Møre og Romsdal),Living alone,Households,2019,1218
2828,Herøy (Møre og Romsdal),Couple without resident children,Households,2019,1030
2829,Herøy (Møre og Romsdal),Couple with small children (youngest child 0-5 years),Households,2019,353
2830,Herøy (Møre og Romsdal),Couple with older children (youngest child 6-17 years),Households,2019,492
2831,Herøy (Møre og Romsdal),Lone parent with small children (youngest child 0-5 years),Households,2019,30
2832,Herøy (Møre og Romsdal),Lone parent with older children (youngest child 6-17 years),Households,2019,107
2833,Herøy (Møre og Romsdal),One family households with adult children (youngest child 18 years and over,Households,2019,350
2834,Herøy (Møre og Romsdal),Two or more-family households without resident children 0-17 years,Households,2019,125
2835,Herøy (Møre og Romsdal),Two or more-family households with small children (youngest child 0-5 years),Households,2019,20
2836,Herøy (Møre og Romsdal),Two or more-family households with older children (youngest child 6-17 years),Households,2019,23
2837,Herøy (Møre og Romsdal),Other housesholds,Households,2019,0
2838,Ulstein,Living alone,Households,2019,1185
2839,Ulstein,Couple without resident children,Households,2019,861
2840,Ulstein,Couple with small children (youngest child 0-5 years),Households,2019,386
2841,Ulstein,Couple with older children (youngest child 6-17 years),Households,2019,475
2842,Ulstein,Lone parent with small children (youngest child 0-5 years),Households,2019,27
2843,Ulstein,Lone parent with older children (youngest child 6-17 years),Households,2019,151
2844,Ulstein,One family households with adult children (youngest child 18 years and over,Households,2019,275
2845,Ulstein,Two or more-family households without resident children 0-17 years,Households,2019,107
2846,Ulstein,Two or more-family households with small children (youngest child 0-5 years),Households,2019,23
2847,Ulstein,Two or more-family households with older children (youngest child 6-17 years),Households,2019,23
2848,Ulstein,Other housesholds,Households,2019,0
2849,Hareid,Living alone,Households,2019,781
2850,Hareid,Couple without resident children,Households,2019,525
2851,Hareid,Couple with small children (youngest child 0-5 years),Households,2019,247
2852,Hareid,Couple with older children (youngest child 6-17 years),Households,2019,247
2853,Hareid,Lone parent with small children (youngest child 0-5 years),Households,2019,30
2854,Hareid,Lone parent with older children (youngest child 6-17 years),Households,2019,87
2855,Hareid,One family households with adult children (youngest child 18 years and over,Households,2019,184
2856,Hareid,Two or more-family households without resident children 0-17 years,Households,2019,85
2857,Hareid,Two or more-family households with small children (youngest child 0-5 years),Households,2019,11
2858,Hareid,Two or more-family households with older children (youngest child 6-17 years),Households,2019,17
2859,Hareid,Other housesholds,Households,2019,0
2860,Volda (-2019),Living alone,Households,2019,1930
2861,Volda (-2019),Couple without resident children,Households,2019,1171
2862,Volda (-2019),Couple with small children (youngest child 0-5 years),Households,2019,387
2863,Volda (-2019),Couple with older children (youngest child 6-17 years),Households,2019,422
2864,Volda (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,24
2865,Volda (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,86
2866,Volda (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,304
2867,Volda (-2019),Two or more-family households without resident children 0-17 years,Households,2019,240
2868,Volda (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,33
2869,Volda (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,65
2870,Volda (-2019),Other housesholds,Households,2019,0
2871,Ørsta,Living alone,Households,2019,1607
2872,Ørsta,Couple without resident children,Households,2019,1182
2873,Ørsta,Couple with small children (youngest child 0-5 years),Households,2019,462
2874,Ørsta,Couple with older children (youngest child 6-17 years),Households,2019,534
2875,Ørsta,Lone parent with small children (youngest child 0-5 years),Households,2019,45
2876,Ørsta,Lone parent with older children (youngest child 6-17 years),Households,2019,140
2877,Ørsta,One family households with adult children (youngest child 18 years and over,Households,2019,423
2878,Ørsta,Two or more-family households without resident children 0-17 years,Households,2019,123
2879,Ørsta,Two or more-family households with small children (youngest child 0-5 years),Households,2019,51
2880,Ørsta,Two or more-family households with older children (youngest child 6-17 years),Households,2019,41
2881,Ørsta,Other housesholds,Households,2019,0
2882,Ørskog (1977-2019),Living alone,Households,2019,338
2883,Ørskog (1977-2019),Couple without resident children,Households,2019,258
2884,Ørskog (1977-2019),Couple with small children (youngest child 0-5 years),Households,2019,93
2885,Ørskog (1977-2019),Couple with older children (youngest child 6-17 years),Households,2019,122
2886,Ørskog (1977-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,6
2887,Ørskog (1977-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,31
